Country,Clicks,Impressions,CTR,Position
Poland,280,18984,1.47%,10.27
Czechia,3,86,3.49%,11.98
Germany,2,201,1%,10.29
United Kingdom,2,86,2.33%,15.29
India,1,51,1.96%,32.9
Belgium,1,18,5.56%,5.44
Italy,1,16,6.25%,8.62
Ireland,1,7,14.29%,5.57
United States,0,176,0%,9.19
Brazil,0,26,0%,20.62
Switzerland,0,23,0%,8.17
Netherlands,0,23,0%,8.61
France,0,16,0%,12.94
Indonesia,0,15,0%,25.33
Canada,0,13,0%,8.92
Spain,0,10,0%,6.7
Japan,0,9,0%,6
Vietnam,0,9,0%,13.78
Colombia,0,9,0%,20.67
Philippines,0,9,0%,47.67
Austria,0,8,0%,7
Australia,0,8,0%,7.62
Chile,0,6,0%,3.33
Ukraine,0,6,0%,7.33
Norway,0,6,0%,9
South Korea,0,6,0%,18.33
Egypt,0,6,0%,25
Mexico,0,5,0%,7.2
Denmark,0,5,0%,9.2
Hungary,0,4,0%,6
Turkey,0,4,0%,9.25
Taiwan,0,4,0%,29.5
Sweden,0,4,0%,43.5
Cambodia,0,3,0%,3.33
Malaysia,0,3,0%,5.33
South Africa,0,3,0%,6
Argentina,0,3,0%,6.33
Portugal,0,3,0%,7.33
Thailand,0,3,0%,7.33
Slovakia,0,3,0%,8
Lithuania,0,3,0%,20.33
Bangladesh,0,3,0%,28
Romania,0,3,0%,30.33
Ecuador,0,2,0%,3
Morocco,0,2,0%,5
Uruguay,0,2,0%,6.5
Hong Kong,0,2,0%,7
Latvia,0,2,0%,7.5
Bulgaria,0,2,0%,8
Bosnia & Herzegovina,0,2,0%,8.5
Iceland,0,2,0%,10.5
Ethiopia,0,2,0%,19.5
Tunisia,0,2,0%,28
Kazakhstan,0,1,0%,1
Lebanon,0,1,0%,1
Mongolia,0,1,0%,1
Russia,0,1,0%,1
Slovenia,0,1,0%,1
Guatemala,0,1,0%,2
Algeria,0,1,0%,3
Paraguay,0,1,0%,3
Trinidad & Tobago,0,1,0%,3
Singapore,0,1,0%,5
Croatia,0,1,0%,6
Jersey,0,1,0%,6
Moldova,0,1,0%,6
Pakistan,0,1,0%,6
Macedonia,0,1,0%,7
Svalbard & Jan Mayen,0,1,0%,7
Serbia,0,1,0%,7
China,0,1,0%,8
Uzbekistan,0,1,0%,9
Mauritius,0,1,0%,10
Costa Rica,0,1,0%,11
Guyana,0,1,0%,11
Jordan,0,1,0%,11
Afghanistan,0,1,0%,13
Guam,0,1,0%,14
El Salvador,0,1,0%,19
Finland,0,1,0%,26
Iraq,0,1,0%,26
Benin,0,1,0%,29
Honduras,0,1,0%,35
Greece,0,1,0%,39
Saudi Arabia,0,1,0%,47
Côte d’Ivoire,0,1,0%,62
