Date,Clicks,Impressions,CTR,Position
2026-01-05,0,2,0%,1.5
2026-01-06,0,0,,
2026-01-07,0,0,,
2026-01-08,0,0,,
2026-01-09,0,0,,
2026-01-10,0,1,0%,2
2026-01-11,0,4,0%,1.5
2026-01-12,0,0,,
2026-01-13,0,0,,
2026-01-14,0,2,0%,2
2026-01-15,1,5,20%,2.2
2026-01-16,0,2,0%,2
2026-01-17,0,1,0%,1
2026-01-18,0,1,0%,2
2026-01-19,0,0,,
2026-01-20,0,0,,
2026-01-21,0,0,,
2026-01-22,0,6,0%,1.2
2026-01-23,0,71,0%,1.1
2026-01-24,0,5,0%,1.2
2026-01-25,0,12,0%,1.4
2026-01-26,0,35,0%,2.2
2026-01-27,0,11,0%,1
2026-01-28,0,15,0%,1
2026-01-29,0,14,0%,1.1
2026-01-30,0,10,0%,1.3
2026-01-31,0,8,0%,1.8
2026-02-01,0,7,0%,1
2026-02-02,1,11,9.09%,1.1
2026-02-03,0,10,0%,1.5
2026-02-04,0,14,0%,2.4
2026-02-05,1,16,6.25%,3.8
2026-02-06,0,28,0%,6.4
2026-02-07,1,17,5.88%,2.9
2026-02-08,3,28,10.71%,4
2026-02-09,0,21,0%,13.8
2026-02-10,2,37,5.41%,9.7
2026-02-11,2,32,6.25%,7.2
2026-02-12,1,50,2%,15.9
2026-02-13,1,75,1.33%,16.6
2026-02-14,1,100,1%,16.8
2026-02-15,1,94,1.06%,17
2026-02-16,4,154,2.6%,14
2026-02-17,9,202,4.46%,11
2026-02-18,5,251,1.99%,11.5
2026-02-19,9,371,2.43%,12.4
2026-02-20,6,450,1.33%,9.6
2026-02-21,5,513,0.97%,9.8
2026-02-22,9,506,1.78%,9.5
2026-02-23,12,498,2.41%,10.9
2026-02-24,11,452,2.43%,8.4
2026-02-25,8,522,1.53%,8.8
2026-02-26,10,454,2.2%,9.3
2026-02-27,4,539,0.74%,9
2026-02-28,13,572,2.27%,8.3
2026-03-01,6,565,1.06%,8.5
2026-03-02,9,331,2.72%,9.8
2026-03-03,6,435,1.38%,11.1
2026-03-04,2,352,0.57%,11.3
2026-03-05,2,370,0.54%,11.3
2026-03-06,4,474,0.84%,10.1
2026-03-07,8,602,1.33%,10.7
2026-03-08,7,781,0.9%,9.4
2026-03-09,3,561,0.53%,13.3
2026-03-10,5,440,1.14%,13.4
2026-03-11,11,456,2.41%,12.2
2026-03-12,5,503,0.99%,12.2
2026-03-13,5,505,0.99%,12.9
2026-03-14,5,495,1.01%,11.7
2026-03-15,5,498,1%,11.1
2026-03-16,6,430,1.4%,12.8
2026-03-17,6,442,1.36%,12.9
2026-03-18,11,465,2.37%,11.1
2026-03-19,8,464,1.72%,11.7
2026-03-20,3,553,0.54%,10.3
2026-03-21,4,640,0.62%,9.1
2026-03-22,6,569,1.05%,11.2
2026-03-23,5,366,1.37%,10.6
2026-03-24,3,281,1.07%,9.1
2026-03-25,7,294,2.38%,8.5
2026-03-26,5,319,1.57%,8.9
2026-03-27,3,401,0.75%,8.8
2026-03-28,8,562,1.42%,7.7
2026-03-29,13,557,2.33%,8.5
2026-03-30,6,404,1.49%,8.4
2026-03-31,4,359,1.11%,8.1
2026-04-01,10,300,3.33%,9.7
2026-04-02,2,301,0.66%,11
2026-04-03,5,441,1.13%,9.1
2026-04-04,8,522,1.53%,8.2
